packetID;dataSize;timestamp;gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z
171;20;374823;160;97;172;80;-128;16800
171;20;374924;-13;158;1361;96;-64;16576
171;20;375025;70;10;-640;-224;256;16368
171;20;375126;-24;0;-1036;-128;-160;16336
171;20;375227;-102;16;-697;688;-208;16208
171;20;375328;5405;886;-558;0;96;16976
171;20;375429;2930;-1346;-553;-272;160;17216
171;20;375530;5441;-1598;-1167;96;480;18160
171;20;375631;-960;6221;-3460;160;896;17024
171;20;375732;3815;-2673;-803;848;4672;17456
171;20;375833;-5135;-3888;1505;1552;4208;16336
171;20;375934;-8169;1867;3913;1520;3584;13408
171;20;376035;-1075;-205;2399;640;2112;13984
171;20;376136;-924;1843;6298;944;1984;14816
171;20;376237;16931;-13584;7710;800;-2608;15968
171;20;376338;2762;-84;-2175;-368;-1424;15728
171;20;376439;-1768;3384;-5569;-1312;816;16032
171;20;376540;1754;-5938;1831;-1968;3328;20400
171;20;376641;6154;-3573;394;-2928;4080;18576
171;20;376742;6570;-2473;2112;-3760;4544;17072
171;20;376843;3549;-894;1592;-4864;5936;15920
171;20;376944;-1992;-1428;1661;-4272;6224;15680
171;20;377045;-595;-316;598;-3632;5328;15856
171;20;377146;122;-310;220;-3568;4928;15200
171;20;377247;-791;-364;729;-3488;4912;15168
171;20;377348;19;336;-286;-3792;4992;14944
171;20;377449;35;-234;936;-3616;5168;14992
171;20;377550;-15;180;319;-3872;5408;14896
171;20;377651;801;-399;88;-3872;5040;15104
171;20;377752;-744;-523;401;-3904;5088;14912
171;20;377853;873;53;507;-3952;5008;14736
171;20;377954;-797;-24;-50;-3984;4928;14704
171;20;378055;111;-35;29;-4016;4960;14928
171;20;378156;-146;-46;3;-4160;5072;14944
171;20;378257;-60;-28;5;-4160;4944;14800
171;20;378358;104;73;-97;-4256;4944;14736
171;20;378459;33;102;-46;-4128;4896;14928
171;20;378560;243;32;-125;-4240;4992;14864
171;20;378661;467;-84;31;-4192;4944;14816
171;20;378762;-276;-94;59;-4160;5008;14960
171;20;378863;138;42;-116;-4336;5104;14672
171;20;378964;137;-248;19;-4160;5008;14896
171;20;379065;286;-37;-6;-4144;4976;14864
171;20;379166;113;-42;-26;-4224;4976;14768
171;20;379267;88;-54;-130;-4352;5008;14768
171;20;379368;-708;-169;40;-4384;5200;14784
171;20;379469;-271;-21;-13;-4448;5072;14800
171;20;379570;288;227;59;-4368;5072;14848
171;20;379671;-146;26;27;-4304;5008;14784
171;20;379772;-104;68;47;-4352;4960;14784
171;20;379873;-23;-150;102;-4384;5008;14832
171;20;379974;-91;37;-6;-4304;4960;14816
171;20;380075;116;-12;74;-4288;4880;14864
171;20;380176;283;13;-51;-4320;4736;14768
171;20;380277;-274;-109;108;-4384;4896;14800
171;20;380378;298;-177;127;-4464;5040;14752
171;20;380479;-241;-158;210;-4464;5168;14800
171;20;380580;237;-338;272;-4400;5088;14880
171;20;380681;-81;123;-79;-4400;4912;14816
171;20;380782;74;100;-247;-4656;4992;14672
171;20;380883;324;291;-266;-4576;4976;14816
171;20;380984;451;94;-207;-4512;5024;14800
171;20;381085;-152;251;-176;-4688;5152;14608
171;20;381186;-362;-101;62;-4384;5088;14784
171;20;381287;-326;181;55;-4480;5040;14736
171;20;381388;-314;-155;120;-4352;4976;14832
171;20;381489;-41;-245;168;-4352;4736;14832
171;20;381590;-464;-338;155;-4448;4912;14784
171;20;381691;-354;51;-233;-4416;4688;14832
171;20;381792;7;390;-236;-4480;4720;14864
171;20;381893;-63;93;-140;-4464;4784;14928
171;20;381994;-21;107;77;-4352;4704;14976
171;20;382095;-185;107;-105;-4208;4752;14912
171;20;382196;-251;-92;176;-4176;4736;14928
171;20;382297;140;204;-263;-4192;4656;14784
171;20;382398;363;111;-236;-4368;4832;14848
171;20;382499;207;2;-74;-4528;5008;14800
171;20;382600;181;175;-85;-4416;4832;14960
171;20;382701;79;37;-47;-4400;4880;14896
171;20;382802;51;54;-149;-4352;4864;14896
171;20;382903;-143;252;-201;-4368;4992;14848
171;20;383004;-3935;2758;-1573;800;2640;14096
171;20;383105;-5648;2496;1396;-880;4000;15712
171;20;383206;-10487;689;4404;-160;880;16112
171;20;383307;-4376;-217;-53;-176;1024;16208
171;20;383408;-7410;-2562;-1130;-2624;1552;13536
171;20;383509;-8500;6295;-3259;-1648;672;16560
171;20;383610;-12355;1125;-6528;-1408;-1344;14736
171;20;383711;-674;1856;-1624;-400;-2832;13856
